id,time,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11
1,1986,11.36838,1111250,0,20.9,1.212152e-313,42.4,85.9,2.6,217.71013,58.594,0
0,1987,11.91077,1111019,0,24.12,1.437787e-313,41.9,85.9,2.8,251.03609,58.594,0
0,1988,12.58026,1186750,0,18.37,1.734345e-313,40.4,86.5,2.8,348.65896,58.594,0
0,1989,13.02217,1216857,0,22.4,1.735299e-313,38.7,88.5,2.5,439.72734,58.594,0
1,1990,13.54005,1304676,0,27.67,1.772752e-313,36.8,91.2,2.3,261.49901,53.711,0
0,1991,13.73636,1318934,1,23.65,1.974477e-313,36.2,94.3,2.1,243.73033,53.711,0
0,1992,13.85659,1330643,0,22.79,2.087208e-313,36.9,95.8,2.1,176.66962,43.64,1
0,1993,14.00667,1333073,0,19.51,2.313130e-313,39.9,97.1,2.2,179.37425,43.64,0
0,1994,14.505,1385835,0,18.97,2.530688e-313,41.1,97.7,2.5,201.87369,43.64,1
0,1995,14.96408,1421641,1,18.69,2.772627e-313,43.6,97.6,2.9,203.56711,43.64,0
0,1996,15.20326,1424113,0,22.65,2.444392e-313,46.3,97.7,3.2,198.17144,47.6,0
0,1997,15.31663,1414397,0,22.31,2.234803e-313,48.4,99.5,3.4,153.35417,47.6,1
0,1998,15.11348,1371363,0,15.9,2.039227e-313,56.1,100.1,3.4,138.28342,47.6,0
0,1999,15.48801,1399009,1,22.42,2.265293e-313,63.5,99.8,4.1,189.72285,47.6,0
0,2000,15.65519,1406195,0,35.48,2.412343e-313,69.5,99.1,4.7,139.10888,48.542,0
1,2001,15.45515,1387952,1,31.8,2.130494e-313,75.6,98.4,4.7,107.14045,48.542,0
0,2002,15.68053,1422453,0,32.94,2.051602e-313,81.8,97.5,5,87.98923,48.542,0
1,2003,15.53167,1428102,0,36.3,2.232162e-313,88.2,97.2,5.4,109.84198,49.375,0
1,2004,15.7381,1427399,1,44.38,2.440000e-313,95.8,97.2,5.3,118.19712,49.375,0
1,2005,15.67054,1439905,0,60.88,2.417166e-313,100.2,97,4.7,166.26863,61.667,1
1,2006,15.71379,1425899,0,71.49,2.302782e-313,100.5,97.2,4.4,177.22047,61.667,0
2,2007,15.44623,1461356,1,74.52,2.302205e-313,102,97.2,4.1,157.48745,61.667,0
0,2008,14.35917,1385165,0,94.32,2.560759e-313,107.2,98.6,3.9,89.85355,61.667,1
0,2009,14.08942,1290244,0,64.02,2.659101e-313,120.7,97.2,4,108.50247,24.792,0
1,2010,14.69798,1350428,0,79.04,2.856209e-313,127.5,96.5,5.1,105.99917,24.792,1
0,2011,14.30011,1396767,0,93.72,3.129825e-313,135.6,96.3,5.1,87.80218,24.792,0
0,2012,14.11543,1478859,0,95.3,3.175953e-313,142.5,96.2,4.6,108.058,61.25,1
0,2013,14.00908,1315869,0,94.86,2.645133e-313,146.6,96.6,4.3,168.6471,61.25,1
3,2014,13.55841,1268712,0,89.09,2.490221e-313,149.5,99.2,4,175.91502,61.263,0
